English_Queries,Task,Category,Sub_Category,Customer
generate Revenue for category Meats in month Mar?,Revenue,Meats,NA,NA
generate Count for Sub_category Coffee in month Jun to Nov?,Count,NA,Coffee,NA
get Top Line for the Customer Dollar General in week Wk52?,Top Line,NA,NA,Dollar General
fetch Gross Sales for category Cheese in month Jan to Sep?,Gross Sales,Cheese,NA,NA
fetch Count for the Customer Amazon in month Nov?,Count,NA,NA,Amazon
display Count for Sub_category Cold Cuts in week Wk1 to Wk35?,Count,NA,Cold Cuts,NA
get Bottom Line for Sub_category All others in month Apr?,Bottom Line,NA,All others,NA
generate Max Shipment for category Cheese in quarter Q2 to Q4?,Max Shipment,Cheese,NA,NA
get Count for category Breakfast in month May?,Count,Breakfast,NA,NA
fetch Max Shipment for Sub_category Tea in year 2019?,Max Shipment,NA,Tea,NA
display Top Line for Sub_category Coffee in quarter Q4?,Top Line,NA,Coffee,NA
generate Revenue for Sub_category Bars/Snacks in year 2019?,Revenue,NA,Bars/Snacks,NA
display Count for category Meats in year 2019?,Count,Meats,NA,NA
display Revenue for the Customer Kroger in month Mar to Nov?,Revenue,NA,NA,Kroger
generate Top Line for Sub_category Processed Cheese in month May?,Top Line,NA,Processed Cheese,NA
display Count for the Customer Kroger in year 2019?,Count,NA,NA,Kroger
display Gross Sales for category Breakfast in week Wk37?,Gross Sales,Breakfast,NA,NA
fetch Revenue for category Breakfast in year 2019?,Revenue,Breakfast,NA,NA
display Net sales for the Customer Walmart in week Wk17?,Net sales,NA,NA,Walmart
get Revenue for Sub_category Enhancers in week Wk19 to Wk52?,Revenue,NA,Enhancers,NA
get Gross Sales for category Meats in week Wk40?,Gross Sales,Meats,NA,NA
display Count for the Customer Ahold in month Mar to Sep?,Count,NA,NA,Ahold
generate Bottom Line for Sub_category Chocolate in week Wk48?,Bottom Line,NA,Chocolate,NA
display Net sales for the Customer Kroger in week Wk21 to Wk40?,Net sales,NA,NA,Kroger
get Gross Sales for category Sauces in quarter Q3?,Gross Sales,Sauces,NA,NA
display Revenue for category Sauces in quarter Q1 to Q4?,Revenue,Sauces,NA,NA
display Net sales for Sub_category Coffee in quarter Q1?,Net sales,NA,Coffee,NA
get Bottom Line for the Customer Dollar General in quarter Q1 to Q4?,Bottom Line,NA,NA,Dollar General
get Max Shipment for category Cheese in year 2019?,Max Shipment,Cheese,NA,NA
display Net sales for the Customer Kroger in week Wk19 to Wk39?,Net sales,NA,NA,Kroger
get Net sales for category Candy in year 2019?,Net sales,Candy,NA,NA
fetch Count for Sub_category Processed Cheese in year 2019?,Count,NA,Processed Cheese,NA
get Revenue for the Customer Kroger in month Feb?,Revenue,NA,NA,Kroger
display Top Line for Sub_category Coffee in week Wk25 to Wk40?,Top Line,NA,Coffee,NA
fetch Top Line for category Meats in week Wk26?,Top Line,Meats,NA,NA
get Net sales for category Breakfast in quarter Q2 to Q4?,Net sales,Breakfast,NA,NA
generate Bottom Line for category Sauces in month Jul?,Bottom Line,Sauces,NA,NA
get Max Shipment for the Customer Walmart in month Apr to Sep?,Max Shipment,NA,NA,Walmart
display Bottom Line for Sub_category Creamers in month Jun?,Bottom Line,NA,Creamers,NA
generate Gross Sales for the Customer Ahold in week Wk21 to Wk35?,Gross Sales,NA,NA,Ahold
generate Count for the Customer Ahold in year 2019?,Count,NA,NA,Ahold
fetch Bottom Line for the Customer Target in year 2019?,Bottom Line,NA,NA,Target
get Revenue for category Breakfast in quarter Q4?,Revenue,Breakfast,NA,NA
fetch Top Line for category Cheese in month Feb to Oct?,Top Line,Cheese,NA,NA
display Gross Sales for category Sauces in week Wk28?,Gross Sales,Sauces,NA,NA
get Revenue for the Customer Dollar General in year 2019?,Revenue,NA,NA,Dollar General
display Net sales for the Customer Costco in month Jan?,Net sales,NA,NA,Costco
fetch Net sales for the Customer Ahold in quarter Q2 to Q4?,Net sales,NA,NA,Ahold
generate Revenue for the Customer Costco in quarter Q3?,Revenue,NA,NA,Costco
fetch Gross Sales for Sub_category Enhancers in week Wk25 to Wk30?,Gross Sales,NA,Enhancers,NA
get Top Line for the Customer Ahold in quarter Q3?,Top Line,NA,NA,Ahold
display Revenue for the Customer UNIFI in year 2019?,Revenue,NA,NA,UNIFI
fetch Top Line for category Candy in month Aug?,Top Line,Candy,NA,NA
generate Top Line for Sub_category Ketchup in year 2019?,Top Line,NA,Ketchup,NA
fetch Net sales for Sub_category Bacon in month Mar?,Net sales,NA,Bacon,NA
display Top Line for the Customer UNIFI in month May to Dec?,Top Line,NA,NA,UNIFI
fetch Top Line for Sub_category Gelatin in year 2019?,Top Line,NA,Gelatin,NA
display Top Line for Sub_category All others in quarter Q2 to Q4?,Top Line,NA,All others,NA
display Bottom Line for the Customer Costco in year 2019?,Bottom Line,NA,NA,Costco
fetch Bottom Line for Sub_category Shelf Stable in year 2019?,Bottom Line,NA,Shelf Stable,NA
fetch Max Shipment for Sub_category Caramels in week Wk19?,Max Shipment,NA,Caramels,NA
generate Revenue for the Customer UNIFI in week Wk2 to Wk44?,Revenue,NA,NA,UNIFI
generate Max Shipment for category Cheese in month Aug?,Max Shipment,Cheese,NA,NA
get Gross Sales for Sub_category Tea in month Jun to Dec?,Gross Sales,NA,Tea,NA
display Top Line for the Customer Albertsons/Safeway in week Wk48?,Top Line,NA,NA,Albertsons/Safeway
generate Net sales for category Breakfast in quarter Q2 to Q4?,Net sales,Breakfast,NA,NA
generate Revenue for the Customer Kroger in month Jan?,Revenue,NA,NA,Kroger
display Max Shipment for Sub_category Tea in month Jun to Oct?,Max Shipment,NA,Tea,NA
fetch Gross Sales for category Sauces in month Dec?,Gross Sales,Sauces,NA,NA
generate Top Line for category Sauces in year 2019?,Top Line,Sauces,NA,NA
get Gross Sales for the Customer Dollar General in month Mar?,Gross Sales,NA,NA,Dollar General
fetch Net sales for the Customer Walmart in year 2019?,Net sales,NA,NA,Walmart
get Top Line for category Meats in year 2019?,Top Line,Meats,NA,NA
fetch Bottom Line for the Customer Dollar General in year 2019?,Bottom Line,NA,NA,Dollar General
fetch Bottom Line for the Customer Publix in quarter Q2?,Bottom Line,NA,NA,Publix
fetch Max Shipment for the Customer Target in week Wk3 to Wk40?,Max Shipment,NA,NA,Target
display Count for the Customer Amazon in month Jan?,Count,NA,NA,Amazon
display Revenue for the Customer Albertsons/Safeway in month Apr to Dec?,Revenue,NA,NA,Albertsons/Safeway
display Net sales for Sub_category BBQ in year 2019?,Net sales,NA,BBQ,NA
get Max Shipment for category Sauces in week Wk17 to Wk30?,Max Shipment,Sauces,NA,NA
display Gross Sales for the Customer Aldi in quarter Q3?,Gross Sales,NA,NA,Aldi
display Net sales for Sub_category Natural Cheese in year 2019?,Net sales,NA,Natural Cheese,NA
get Revenue for the Customer Amazon in month Jun?,Revenue,NA,NA,Amazon
fetch Count for category Cheese in week Wk13 to Wk48?,Count,Cheese,NA,NA
get Revenue for Sub_category Hard in quarter Q4?,Revenue,NA,Hard,NA
generate Net sales for Sub_category Shelf Stable in quarter Q1 to Q4?,Net sales,NA,Shelf Stable,NA
fetch Max Shipment for Sub_category Chocolate in month Sep?,Max Shipment,NA,Chocolate,NA
generate Max Shipment for the Customer Dollar General in quarter Q2 to Q4?,Max Shipment,NA,NA,Dollar General
generate Revenue for Sub_category Hot Dogs in week Wk21?,Revenue,NA,Hot Dogs,NA
get Revenue for Sub_category Hot Dogs in week Wk19 to Wk47?,Revenue,NA,Hot Dogs,NA
generate Net sales for the Customer Kroger in month Sep?,Net sales,NA,NA,Kroger
fetch Count for Sub_category Shelf Stable in quarter Q1 to Q4?,Count,NA,Shelf Stable,NA
generate Max Shipment for Sub_category Chocolate in week Wk21?,Max Shipment,NA,Chocolate,NA
generate Count for category Cheese in month Jan to Aug?,Count,Cheese,NA,NA
generate Net sales for category Sauces in week Wk40?,Net sales,Sauces,NA,NA
fetch Net sales for the Customer Target in quarter Q1 to Q4?,Net sales,NA,NA,Target
get Revenue for Sub_category Natural Cheese in week Wk34?,Revenue,NA,Natural Cheese,NA
fetch Net sales for Sub_category Cold Cuts in quarter Q1 to Q4?,Net sales,NA,Cold Cuts,NA
display Max Shipment for category Cheese in year 2019?,Max Shipment,Cheese,NA,NA
get Bottom Line for the Customer Costco in year 2019?,Bottom Line,NA,NA,Costco
fetch Gross Sales for Sub_category Creamers in week Wk42?,Gross Sales,NA,Creamers,NA
fetch Gross Sales for category Cheese in week Wk23 to Wk41?,Gross Sales,Cheese,NA,NA
generate Bottom Line for Sub_category Cold Cuts in quarter Q3?,Bottom Line,NA,Cold Cuts,NA
fetch Count for Sub_category Bars/Snacks in week Wk8 to Wk47?,Count,NA,Bars/Snacks,NA
display Revenue for Sub_category Bacon in week Wk30?,Revenue,NA,Bacon,NA
get Revenue for the Customer Dollar General in quarter Q2 to Q4?,Revenue,NA,NA,Dollar General
generate Bottom Line for Sub_category Chocolate in week Wk52?,Bottom Line,NA,Chocolate,NA
generate Count for Sub_category Coffee in year 2019?,Count,NA,Coffee,NA
display Gross Sales for Sub_category Ketchup in month Apr?,Gross Sales,NA,Ketchup,NA
generate Net sales for the Customer Target in month Mar to Dec?,Net sales,NA,NA,Target
display Count for category Cheese in week Wk18?,Count,Cheese,NA,NA
fetch Net sales for category Sauces in month Feb to Oct?,Net sales,Sauces,NA,NA
get Gross Sales for the Customer Amazon in week Wk27?,Gross Sales,NA,NA,Amazon
get Bottom Line for the Customer UNIFI in week Wk4 to Wk34?,Bottom Line,NA,NA,UNIFI
fetch Net sales for the Customer Amazon in week Wk18?,Net sales,NA,NA,Amazon
display Net sales for category Sauces in year 2019?,Net sales,Sauces,NA,NA
get Bottom Line for the Customer Publix in quarter Q4?,Bottom Line,NA,NA,Publix
generate Count for category Meats in week Wk22 to Wk34?,Count,Meats,NA,NA
generate Gross Sales for the Customer Dollar General in week Wk28?,Gross Sales,NA,NA,Dollar General
display Max Shipment for category Sauces in year 2019?,Max Shipment,Sauces,NA,NA
generate Gross Sales for category Candy in month Jul?,Gross Sales,Candy,NA,NA
get Max Shipment for the Customer Kroger in week Wk3 to Wk49?,Max Shipment,NA,NA,Kroger
display Net sales for Sub_category Processed Cheese in quarter Q1?,Net sales,NA,Processed Cheese,NA
display Bottom Line for the Customer Publix in week Wk7 to Wk44?,Bottom Line,NA,NA,Publix
get Revenue for Sub_category Gelatin in year 2019?,Revenue,NA,Gelatin,NA
display Max Shipment for Sub_category Grated in year 2019?,Max Shipment,NA,Grated,NA
display Net sales for the Customer Walmart in quarter Q1?,Net sales,NA,NA,Walmart
display Bottom Line for Sub_category Specialty Meats in year 2019?,Bottom Line,NA,Specialty Meats,NA
fetch Gross Sales for the Customer Kroger in year 2019?,Gross Sales,NA,NA,Kroger
display Bottom Line for Sub_category Coffee in year 2019?,Bottom Line,NA,Coffee,NA
generate Top Line for category Breakfast in month May?,Top Line,Breakfast,NA,NA
fetch Max Shipment for Sub_category Hot Dogs in week Wk20 to Wk38?,Max Shipment,NA,Hot Dogs,NA
fetch Max Shipment for Sub_category Cold Cuts in quarter Q3?,Max Shipment,NA,Cold Cuts,NA
get Gross Sales for Sub_category BBQ in quarter Q1 to Q4?,Gross Sales,NA,BBQ,NA
get Revenue for the Customer Ahold in week Wk2?,Revenue,NA,NA,Ahold
fetch Gross Sales for the Customer Dollar General in week Wk12 to Wk41?,Gross Sales,NA,NA,Dollar General
display Bottom Line for Sub_category Mayonaise in month Jan?,Bottom Line,NA,Mayonaise,NA
display Gross Sales for category Breakfast in quarter Q1 to Q4?,Gross Sales,Breakfast,NA,NA
fetch Bottom Line for the Customer Albertsons/Safeway in quarter Q4?,Bottom Line,NA,NA,Albertsons/Safeway
display Gross Sales for Sub_category Enhancers in year 2019?,Gross Sales,NA,Enhancers,NA
get Max Shipment for the Customer Costco in month Jun?,Max Shipment,NA,NA,Costco
display Revenue for category Meats in week Wk16 to Wk29?,Revenue,Meats,NA,NA
fetch Top Line for the Customer Albertsons/Safeway in year 2019?,Top Line,NA,NA,Albertsons/Safeway
fetch Gross Sales for category Breakfast in month Feb to Nov?,Gross Sales,Breakfast,NA,NA
generate Count for category Meats in quarter Q4?,Count,Meats,NA,NA
get Net sales for category Cheese in week Wk24 to Wk49?,Net sales,Cheese,NA,NA
generate Gross Sales for Sub_category Caramels in month Jun?,Gross Sales,NA,Caramels,NA
fetch Net sales for Sub_category Tea in month Jun to Dec?,Net sales,NA,Tea,NA
display Net sales for Sub_category Creamers in week Wk14?,Net sales,NA,Creamers,NA
fetch Revenue for category Candy in month Feb to Nov?,Revenue,Candy,NA,NA
get Max Shipment for the Customer Amazon in week Wk2?,Max Shipment,NA,NA,Amazon
get Gross Sales for Sub_category BBQ in week Wk7 to Wk46?,Gross Sales,NA,BBQ,NA
fetch Max Shipment for Sub_category Hard in week Wk49?,Max Shipment,NA,Hard,NA
generate Net sales for Sub_category Cold Cuts in week Wk14 to Wk39?,Net sales,NA,Cold Cuts,NA
generate Gross Sales for category Sauces in week Wk34?,Gross Sales,Sauces,NA,NA
fetch Revenue for the Customer Aldi in quarter Q2 to Q4?,Revenue,NA,NA,Aldi
fetch Max Shipment for Sub_category Hard in month Feb?,Max Shipment,NA,Hard,NA
fetch Count for Sub_category Ketchup in month Jun to Sep?,Count,NA,Ketchup,NA
generate Gross Sales for the Customer UNIFI in year 2019?,Gross Sales,NA,NA,UNIFI
generate Net sales for category Meats in quarter Q2 to Q4?,Net sales,Meats,NA,NA
display Bottom Line for Sub_category Coffee in year 2019?,Bottom Line,NA,Coffee,NA
fetch Bottom Line for the Customer Kroger in week Wk13 to Wk43?,Bottom Line,NA,NA,Kroger
display Bottom Line for the Customer Walmart in quarter Q3?,Bottom Line,NA,NA,Walmart
fetch Gross Sales for category Breakfast in quarter Q2 to Q4?,Gross Sales,Breakfast,NA,NA
display Gross Sales for category Sauces in week Wk21?,Gross Sales,Sauces,NA,NA
get Net sales for Sub_category Coffee in year 2019?,Net sales,NA,Coffee,NA
fetch Gross Sales for category Sauces in month Jan?,Gross Sales,Sauces,NA,NA
generate Gross Sales for the Customer Kroger in quarter Q1 to Q4?,Gross Sales,NA,NA,Kroger
fetch Top Line for Sub_category Bars/Snacks in year 2019?,Top Line,NA,Bars/Snacks,NA
generate Gross Sales for category Sauces in quarter Q1 to Q4?,Gross Sales,Sauces,NA,NA
get Net sales for Sub_category Enhancers in month Jul?,Net sales,NA,Enhancers,NA
display Max Shipment for category Meats in year 2019?,Max Shipment,Meats,NA,NA
get Count for Sub_category Bacon in year 2019?,Count,NA,Bacon,NA
generate Gross Sales for category Cheese in quarter Q1 to Q4?,Gross Sales,Cheese,NA,NA
