English_Queries,Task,Category,Sub_Category,Customer
display Max Shipment  Cheese in year 2019?,Max Shipment,Cheese,NA,NA
generate Gross Sales  Candy in year 2019?,Gross Sales,Candy,NA,NA
generate Revenue  Gelatin in quarter Q4?,Revenue,NA,Gelatin,NA
get Max Shipment  Aldi in quarter Q2 to Q4?,Max Shipment,NA,NA,Aldi
display Count  Bacon in year 2019?,Count,NA,Bacon,NA
fetch Net sales  Candy in year 2019?,Net sales,Candy,NA,NA
generate Revenue  Creamers in quarter Q3?,Revenue,NA,Creamers,NA
get Net sales  Bars/Snacks in quarter Q2 to Q4?,Net sales,NA,Bars/Snacks,NA
fetch Count  Creamers in week Wk31?,Count,NA,Creamers,NA
generate Net sales  Meats in quarter Q1 to Q4?,Net sales,Meats,NA,NA
fetch Revenue  Chocolate in week Wk1?,Revenue,NA,Chocolate,NA
get Count  Juice in quarter Q1 to Q4?,Count,NA,Juice,NA
fetch Top Line  Sauces in year 2019?,Top Line,Sauces,NA,NA
display Gross Sales  Ketchup in week Wk18 to Wk40?,Gross Sales,NA,Ketchup,NA
display Max Shipment  Specialty Meats in year 2019?,Max Shipment,NA,Specialty Meats,NA
fetch Bottom Line  Target in year 2019?,Bottom Line,NA,NA,Target
display Count  Walmart in month Aug?,Count,NA,NA,Walmart
fetch Count  Creamers in year 2019?,Count,NA,Creamers,NA
fetch Bottom Line  Albertsons/Safeway in year 2019?,Bottom Line,NA,NA,Albertsons/Safeway
display Bottom Line  Sauces in week Wk15 to Wk34?,Bottom Line,Sauces,NA,NA
generate Revenue  Cheese in quarter Q3?,Revenue,Cheese,NA,NA
generate Top Line  Target in year 2019?,Top Line,NA,NA,Target
fetch Gross Sales  Aldi in month Oct?,Gross Sales,NA,NA,Aldi
display Net sales  Cheese in quarter Q1 to Q4?,Net sales,Cheese,NA,NA
fetch Bottom Line  Natural Cheese in month May?,Bottom Line,NA,Natural Cheese,NA
display Bottom Line  UNIFI in quarter Q2 to Q4?,Bottom Line,NA,NA,UNIFI
fetch Max Shipment  Candy in month Sep?,Max Shipment,Candy,NA,NA
display Top Line  Walmart in year 2019?,Top Line,NA,NA,Walmart
fetch Top Line  Sauces in quarter Q2?,Top Line,Sauces,NA,NA
get Gross Sales  Mayonaise in month Apr to Sep?,Gross Sales,NA,Mayonaise,NA
get Gross Sales  Cold Cuts in quarter Q2?,Gross Sales,NA,Cold Cuts,NA
display Count  Sauces in week Wk14 to Wk41?,Count,Sauces,NA,NA
generate Top Line  Specialty Meats in month Dec?,Top Line,NA,Specialty Meats,NA
fetch Bottom Line  Shelf Stable in week Wk16 to Wk41?,Bottom Line,NA,Shelf Stable,NA
fetch Top Line  Bars/Snacks in year 2019?,Top Line,NA,Bars/Snacks,NA
get Net sales  Natural Cheese in week Wk20 to Wk44?,Net sales,NA,Natural Cheese,NA
fetch Count  Juice in week Wk13?,Count,NA,Juice,NA
generate Net sales  Hot Dogs in week Wk3 to Wk48?,Net sales,NA,Hot Dogs,NA
fetch Bottom Line  Meats in quarter Q3?,Bottom Line,Meats,NA,NA
generate Bottom Line  UNIFI in quarter Q2 to Q4?,Bottom Line,NA,NA,UNIFI
get Top Line  Specialty Meats in year 2019?,Top Line,NA,Specialty Meats,NA
generate Count  Breakfast in month Feb to Sep?,Count,Breakfast,NA,NA
fetch Revenue  Walmart in week Wk50?,Revenue,NA,NA,Walmart
fetch Top Line  UNIFI in week Wk2 to Wk47?,Top Line,NA,NA,UNIFI
